Document ID,Status,Source Text,Summary,Detected Language,Detected Language Score,Document Sentiment,Document Sentiment +/-
"Apr. 6, 2017 at 5:12 p.m. ET",PROCESSED,Stocks will crash if Trump keeps his campaign promises on China,Stocks will crash if Trump keeps his campaign promises on China... ,English,0.2807756,-0.449999988,negative
"Apr. 6, 2017 at 6:58 a.m. ET",PROCESSED,Tesla bull says investors are waking up to the company’s huge potential market,Tesla bull says investors are waking up to the company’s huge potential market... ,English,0.17381062,0.200000003,neutral
"Apr. 6, 2018 at 10:11 a.m. ET",PROCESSED,"Tesla's stock turns higher, gains 0.2% after falling as much as 2.3% earlier","Tesla's stock turns higher, gains 0.2% after falling as much as 2.3% earlier... ",English,0.24602412,0,neutral
"Apr. 6, 2018 at 11:39 p.m. ET",PROCESSED,Can Tesla Outrun Cash Burn?,Can Tesla Outrun Cash Burn?... ,Norwegian,0.33333173,0,neutral
"Apr. 6, 2018 at 11:44 a.m. ET",PROCESSED,S&P 500 fails test of major resistance as trade-war language intensifies,S&P 500 fails test of major resistance as trade-war language intensifies... ,English,0.15757965,-0.590000033,negative
"Apr. 6, 2018 at 12:23 p.m. ET",PROCESSED,Distracted driving worries more people but not enough to change their own bad behavior,Distracted driving worries more people but not enough to change their own bad behavior... ,English,0.25271758,-0.505503714,negative
"Apr. 6, 2018 at 12:47 p.m. ET",PROCESSED,Why this Tesla car shopper sped away from the Model 3,Why this Tesla car shopper sped away from the Model 3... ,English,0.20790245,0,neutral
"Apr. 6, 2018 at 7:09 a.m. ET",PROCESSED,"Tesla's stock slumps 2.6% premarket, after running up 21.1% over the past three sessions","Tesla's stock slumps 2.6% premarket, after running up 21.1% over the past three sessions... ",English,0.21913776,-0.49000001,negative
"Apr. 6, 2018 at 9:42 a.m. ET",PROCESSED,Tesla’s stock kicks off new bull market just as it enters a ‘big band’ of chart resistance,Tesla’s stock kicks off new bull market just as it enters a ‘big band’ of chart resistance... ,English,0.11499681,-0.600000024,negative
"Apr. 6, 2020 at 12:00 p.m. ET",PROCESSED,"S&P 500 spikes from major support, vies to start week with ‘island reversal’","S&P 500 spikes from major support, vies to start week with ‘island reversal’... ",English,0.17329174,0,neutral
"Apr. 6, 2020 at 6:34 a.m. ET",PROCESSED,"Tesla stock is not reflecting impact on demand of a global recession, Baird analyst says","Tesla stock is not reflecting impact on demand of a global recession, Baird analyst says... ",English,0.1117102,-0.600000024,negative
"Apr. 6, 2020 at 8:55 a.m. ET",PROCESSED,Tesla stock gets an upgrade at Jefferies,Tesla stock gets an upgrade at Jefferies... ,English,0.19725537,0.600000024,positive
"Apr. 6, 2020 at 9:21 a.m. ET",PROCESSED,Tesla Stock Is Rising After an Upgrade. Here’s What the Analyst Likes.,Tesla Stock Is Rising After an Upgrade... Here’s What the Analyst Likes... ,English,0.1850187,0,neutral
"Apr. 7, 2011 at 12:01 a.m. ET",PROCESSED,Low volume doesn’t cancel buy signal,Low volume doesn’t cancel buy signal... ,English,0.5655812,0,neutral
"Apr. 7, 2014 at 11:31 a.m. ET",PROCESSED,Charting the SPY’s key reversal,Charting the SPY’s key reversal... ,English,0.1695824,0,neutral
"Apr. 7, 2014 at 12:57 p.m. ET",PROCESSED,What keeps bulls and bears up at night,What keeps bulls and bears up at night... ,English,0.20931609,0,neutral
"Apr. 7, 2014 at 3:54 p.m. ET",PROCESSED,"Tesla, Facebook seesaw; Questcor surges on deal","Tesla, Facebook seesaw; Questcor surges on deal... ",Romanian,0.13946846,0,neutral
"Apr. 7, 2014 at 5:35 a.m. ET",PROCESSED,"Tesla, Facebook, Netflix are Monday’s stocks to watch","Tesla, Facebook, Netflix are Monday’s stocks to watch... ",English,0.14698836,0,neutral
"Apr. 7, 2014 at 5:37 a.m. ET",PROCESSED,Warnings underline stock market’s earnings conundrum,Warnings underline stock market’s earnings conundrum... ,English,0.9999857,-0.475000024,negative
"Apr. 7, 2014 at 9:20 a.m. ET",PROCESSED,Stock futures drop as earnings season looms,Stock futures drop as earnings season looms... ,English,0.1963753,-0.600000024,negative
"Apr. 7, 2014 at 9:36 a.m. ET",PROCESSED,"Momentum stocks Tesla, Facebook extend losses","Momentum stocks Tesla, Facebook extend losses... ",English,0.5097577,-0.600000024,negative
"Apr. 7, 2015 at 12:02 p.m. ET",PROCESSED,New battery can charge a smartphone in a minute,New battery can charge a smartphone in a minute... ,English,0.09773861,0,neutral
"Apr. 7, 2015 at 12:25 p.m. ET",PROCESSED,This is the secret to corporate survival today,This is the secret to corporate survival today... ,English,0.16555843,0,neutral
"Apr. 7, 2016 at 11:14 a.m. ET",PROCESSED,"Sixers executive quits with Jerry Maguire-esque paean to Buffett, Bezos","Sixers executive quits with Jerry Maguire-esque paean to Buffett, Bezos... ",Romanian,0.146039,-0.033500016,neutral
"Apr. 7, 2016 at 11:19 a.m. ET",PROCESSED,"Tesla says it has more than 325,000 reservations for Model 3","Tesla says it has more than 325,000 reservations for Model 3... ",English,0.2052105,0,neutral
"Apr. 7, 2016 at 8:10 p.m. ET",PROCESSED,Tesla: Model 3 had ‘biggest one-week launch of any product ever’,Tesla: Model 3 had ‘biggest one-week launch of any product ever’... ,English,0.1919472,0,neutral
"Apr. 7, 2017 at 10:18 a.m. ET",PROCESSED,How stocks could rally even after the U.S. strike on Syria,How stocks could rally even after the U.S. strike on Syria... ,English,0.21726327,0.600000024,positive
"Apr. 7, 2017 at 10:55 a.m. ET",PROCESSED,"Predictions on stocks, bonds, gold and oil after the U.S. strike on Syria","Predictions on stocks, bonds, gold and oil after the U.S. strike on Syria... ",English,0.17325866,0,neutral
"Apr. 7, 2017 at 11:37 a.m. ET",PROCESSED,"Dow holds the 50-day average, S&P 500 nails the 2,350 support amid geopolitical tensions","Dow holds the 50-day average, S&P 500 nails the 2,350 support amid geopolitical tensions... ",English,0.17766362,0,neutral
"Apr. 7, 2019 at 9:44 a.m. ET",PROCESSED,Tesla and Elon Musk are creating a credibility problem,Tesla and Elon Musk are creating a credibility problem... ,English,0.10419215,-0.080774963,negative
"Apr. 7, 2020 at 10:33 a.m. ET",PROCESSED,GM Stock Is Rallying Even After a Downgrade. Analyst Sees Severe Drop in Car Sales.,GM Stock Is Rallying Even After a Downgrade... Analyst Sees Severe Drop in Car Sales... ,English,0.11051125,-0.185931966,negative
"Apr. 7, 2020 at 11:17 p.m. ET",PROCESSED,"Tesla to furlough workers, cut salaries amid coronavirus shutdowns: report","Tesla to furlough workers, cut salaries amid coronavirus shutdowns: report... ",English,0.14795358,0,neutral
"Apr. 7, 2020 at 6:45 a.m. ET",PROCESSED,"Tesla's stock surges 4.4% premarket, after running up 13.6% over the past 2 sessions","Tesla's stock surges 4.4% premarket, after running up 13.6% over the past 2 sessions... ",English,0.2142063,0,neutral
"Apr. 7, 2020 at 9:45 a.m. ET",PROCESSED,Trump’s personal stake in the malaria-drug maker Sanofi could be as small as $99,Trump’s personal stake in the malaria-drug maker Sanofi could be as small as $99... ,English,0.14463927,0,neutral
"Apr. 8, 2013 at 10:13 a.m. ET",PROCESSED,The market in a minute: Japan is still the trade,The market in a minute: Japan is still the trade... ,English,0.12253561,0,neutral
"Apr. 8, 2013 at 12:06 p.m. ET",PROCESSED,‘Sell in May’ comes early,‘Sell in May’ comes early... ,English,0.104684666,0,neutral
"Apr. 8, 2013 at 12:07 p.m. ET",PROCESSED,Nasdaq’s backdrop marks the technical test,Nasdaq’s backdrop marks the technical test... ,English,0.16783978,0,neutral
"Apr. 8, 2014 at 1:11 p.m. ET",PROCESSED,S&P 500 challenges major technical support,S&P 500 challenges major technical support... ,English,0.19738942,0.300000012,positive
"Apr. 8, 2014 at 6:05 a.m. ET",PROCESSED,4 charts to make you smarter about ‘smart beta’ ETFs,4 charts to make you smarter about ‘smart beta’ ETFs... ,English,0.1970058,0.75,positive
"Apr. 8, 2014 at 9:35 a.m. ET",PROCESSED,Tesla and Facebook kick off trading higher,Tesla and Facebook kick off trading higher... ,English,0.16313368,0,neutral
"Apr. 8, 2015 at 11:08 p.m. ET",PROCESSED,GM to end production of current Chevy Volt,GM to end production of current Chevy Volt... ,English,0.13700397,0,neutral
"Apr. 8, 2015 at 5:27 p.m. ET",PROCESSED,Alcoa shares decline as revenue falls short of Street view,Alcoa shares decline as revenue falls short of Street view... ,English,0.15857328,0,neutral
"Apr. 8, 2015 at 7:18 a.m. ET",PROCESSED,Tesla to upgrade base version of Model S,Tesla to upgrade base version of Model S... ,English,0.13076498,0.600000024,positive
"Apr. 8, 2015 at 8:52 a.m. ET",PROCESSED,"Sideways market looks to Fed minutes, earnings kickoff for direction","Sideways market looks to Fed minutes, earnings kickoff for direction... ",English,0.13629027,0,neutral
"Apr. 8, 2016 at 7:10 p.m. ET",PROCESSED,SpaceX manages a first by landing rocket on platform after launch,SpaceX manages a first by landing rocket on platform after launch... ,English,0.10796962,0,neutral
"Apr. 8, 2016 at 9:35 a.m. ET",PROCESSED,"If you like Tesla cars, you’ll love these high-end electric bicycles","If you like Tesla cars, you’ll love these high-end electric bicycles... ",English,0.38683745,0.600000024,positive
"Apr. 8, 2017 at 11:30 a.m. ET",PROCESSED,"Tesla fans, Barclays has a ‘reality pill’ for you","Tesla fans, Barclays has a ‘reality pill’ for you... ",English,0.10470285,0,neutral
"Apr. 8, 2017 at 12:31 a.m. ET",PROCESSED,The Ronco Stock-O-Matic,,Swedish,0.14518265,0,neutral
"Apr. 8, 2019 at 10:53 a.m. ET",PROCESSED,Tesla Stock Is Rising on Fiat Chrysler Deal — but the Bears See Little to Like,Tesla Stock Is Rising on Fiat Chrysler Deal — but the Bears See Little to Like... ,English,0.17129035,0,neutral
"Apr. 8, 2019 at 11:32 a.m. ET",PROCESSED,"Bull trend pauses, S&P 500 digests decisive April breakout","Bull trend pauses, S&P 500 digests decisive April breakout... ",Danish,0.18782009,-0.122500002,negative
"Apr. 8, 2019 at 5:13 a.m. ET",PROCESSED,Europe markets stung by rising oil prices,Europe markets stung by rising oil prices... ,English,0.43431938,0,neutral
"Apr. 8, 2019 at 6:16 a.m. ET",PROCESSED,Fiat Chrysler taps Tesla to avoid EU emission fine,Fiat Chrysler taps Tesla to avoid EU emission fine... ,Romanian,0.13648169,0,neutral
"Apr. 8, 2019 at 7:50 a.m. ET",PROCESSED,Tesla stock roiled by ‘ugly’ delivery numbers,Tesla stock roiled by ‘ugly’ delivery numbers... ,English,0.36362484,0,neutral
"Apr. 8, 2019 at 8:23 a.m. ET",PROCESSED,"Boeing Stock Falls, Tesla Gets Cash, and More to Know for Monday","Boeing Stock Falls, Tesla Gets Cash, and More to Know for Monday... ",English,0.14378329,0,neutral
"Apr. 8, 2019 at 9:24 a.m. ET",PROCESSED,Tesla stock price target cut to $200 from $220 at UBS,Tesla stock price target cut to $200 from $220 at UBS... ,English,0.18619516,0,neutral
"Apr. 8, 2019 at 9:36 a.m. ET",PROCESSED,Tesla stock price target slashed to $400 vs. $450 at Jefferies,Tesla stock price target slashed to $400 vs. $450 at Jefferies... ,English,0.17439736,0,neutral
"Apr. 8, 2019 at 9:44 a.m. ET",PROCESSED,Tesla stock price target slashed to $400 from. $450 at Jefferies after Q1 miss,Tesla stock price target slashed to $400 from... $450 at Jefferies after Q1 miss... ,English,0.19980295,0,neutral
"Apr. 8, 2020 at 11:32 a.m. ET",PROCESSED,"Charting an April breakout, S&P 500 sustains rally atop major resistance","Charting an April breakout, S&P 500 sustains rally atop major resistance... ",Danish,0.15364783,-0.181666657,negative
"Apr. 8, 2020 at 11:36 a.m. ET",PROCESSED,Tesla Says It Will Restart Production in May. Will the Economy Be Open?,Tesla Says It Will Restart Production in May... Will the Economy Be Open?... ,English,0.15631461,0,neutral
"Apr. 8, 2020 at 3:29 p.m. ET",PROCESSED,"Coronavirus update: 1.46 million cases worldwide, 85,397 deaths; Wuhan lifts travel ban, while U.S. case tally tops 400,000","Coronavirus update: 1.46 million cases worldwide, 85,397 deaths; Wuhan lifts travel ban, while U.S. case tally tops 400,000... ",English,0.28915483,-0.064361759,negative
"Apr. 8, 2020 at 4:18 p.m. ET",PROCESSED,"Vanguard blew away the competition in Q1, fund flow data show","Vanguard blew away the competition in Q1, fund flow data show... ",English,0.1280498,0,neutral
"Apr. 8, 2020 at 6:16 a.m. ET",PROCESSED,"Tesla's stock edges up 0.3% premarket, after running up 20.0% over the past 3 sessions","Tesla's stock edges up 0.3% premarket, after running up 20.0% over the past 3 sessions... ",English,0.2152586,0,neutral
"Apr. 9, 2008 at 5:52 p.m. ET",PROCESSED,In focus: Did the bulls fumble the ball?,In focus: Did the bulls fumble the ball?... ,English,0.14526941,0,neutral
"Apr. 9, 2014 at 4:39 p.m. ET",PROCESSED,Tesla-Facebook pain trade shifts focus to value stocks,Tesla-Facebook pain trade shifts focus to value stocks... ,English,0.14391498,-0.600000024,negative
"Apr. 9, 2014 at 7:33 a.m. ET",PROCESSED,Audi plans China hybrid plug-in,Audi plans China hybrid plug-in... ,English,0.10115161,0,neutral
"Apr. 9, 2015 at 1:41 p.m. ET",PROCESSED,These companies stand to cash in on driverless cars,These companies stand to cash in on driverless cars... ,English,0.11463337,0,neutral
"Apr. 9, 2016 at 1:17 p.m. ET",PROCESSED,Tesla’s Model X — the luxury-loving hippie of the SUV world,Tesla’s Model X — the luxury-loving hippie of the SUV world... ,English,0.16020004,0.900000036,positive
"Apr. 9, 2017 at 1:29 p.m. ET",PROCESSED,Weekend roundup: Blaming baby boomers | Dying in debt | How to avoid financial ruin from hospital bills,Weekend roundup: Blaming baby boomers | Dying in debt | How to avoid financial ruin from hospital bills... ,English,0.1228626,-0.576141417,negative
"Apr. 9, 2017 at 7:50 p.m. ET",PROCESSED,"Earnings will drive U.S. stocks higher, regardless of what happens in politics","Earnings will drive U.S. stocks higher, regardless of what happens in politics... ",English,0.13069989,0,neutral
"Apr. 9, 2018 at 11:34 a.m. ET",PROCESSED,"S&P 500 maintains 200-day average (again), latest corrective bounce underway","S&P 500 maintains 200-day average (again), latest corrective bounce underway... ",English,0.4519367,0.588000059,positive
"Apr. 9, 2018 at 7:32 a.m. ET",PROCESSED,Millions of Facebook users to find out Monday if Cambridge Analytica shared their data,Millions of Facebook users to find out Monday if Cambridge Analytica shared their data... ,English,0.17842382,0,neutral
"Apr. 9, 2018 at 7:36 a.m. ET",PROCESSED,Tesla stock notches best week in four years,Tesla stock notches best week in four years... ,English,0.118610345,0.49000001,positive
"Apr. 9, 2018 at 9:24 a.m. ET",PROCESSED,Should Facebook be more tightly regulated?,Should Facebook be more tightly regulated?... ,English,0.3347592,0,neutral
"Apr. 9, 2018 at 9:53 a.m. ET",PROCESSED,Mark Cuban on the best investment and the one he ‘hates with extreme prejudice’,Mark Cuban on the best investment and the one he ‘hates with extreme prejudice’... ,English,0.17833021,-0.039999992,neutral
"Apr. 9, 2019 at 12:28 p.m. ET",PROCESSED,"Charting the S&P 500’s approach of the 2,900 mark","Charting the S&P 500’s approach of the 2,900 mark... ",English,0.15830648,0,neutral
"Apr. 9, 2019 at 4:48 p.m. ET",PROCESSED,"Tesla initiated at Instinet with neutral rating, $300 price target","Tesla initiated at Instinet with neutral rating, $300 price target... ",English,0.21411416,0,neutral
"Apr. 9, 2019 at 7:08 a.m. ET",PROCESSED,"Investor concerns for Tesla’s stock could start weighing on its business, analyst warns","Investor concerns for Tesla’s stock could start weighing on its business, analyst warns... ",English,0.20050234,0,neutral
"Apr. 9, 2019 at 9:47 a.m. ET",PROCESSED,All eyes are on company earnings as the stock market has overshot to the upside,All eyes are on company earnings as the stock market has overshot to the upside... ,English,0.17326728,0,neutral
"Apr. 9, 2020 at 1:05 p.m. ET",PROCESSED,Investors are placing bold bets on tech stocks — this is a very bad idea,Investors are placing bold bets on tech stocks — this is a very bad idea... ,English,0.1372219,0.0097,neutral
"Apr. 9, 2020 at 11:54 a.m. ET",PROCESSED,Market recovery attempt strengthens (again) amid S&P 500’s 12-to-1 up day,Market recovery attempt strengthens (again) amid S&P 500’s 12-to-1 up day... ,English,0.18909974,0.463922203,positive
"Apr. 9, 2020 at 12:35 p.m. ET",PROCESSED,"The Federal Reserve’s stimulus may be aimed at the economy, but stock investors will get many of the benefits","The Federal Reserve’s stimulus may be aimed at the economy, but stock investors will get many of the benefits... ",English,0.19129471,0.735000014,positive
"Apr. 9, 2020 at 6:39 a.m. ET",PROCESSED,"Tesla's stock slips 0.3% premarket, after surging 20.7% amid 4-day win streak through Wednesday","Tesla's stock slips 0.3% premarket, after surging 20.7% amid 4-day win streak through Wednesday... ",English,0.5438403,0.441551745,positive
"Aug. 1, 2005 at 3:23 p.m. ET",PROCESSED,Amex grapples with setback,Amex grapples with setback... ,Romanian,0.24999967,-0.49000001,negative
"Aug. 1, 2006 at 10:03 a.m. ET",PROCESSED,"S&P 500, Dow still lacking in follow-through","S&P 500, Dow still lacking in follow-through... ",English,0.11501334,-0.499500036,negative
"Aug. 1, 2006 at 10:54 a.m. ET",PROCESSED,"S&P 500, Dow stage unconvincing breakouts","S&P 500, Dow stage unconvincing breakouts... ",Romanian,0.17070729,-0.521785676,negative
"Aug. 1, 2007 at 12:01 a.m. ET",PROCESSED,Following our heads -- or our guts ...,Following our heads -- or our guts ..... ,English,0.79247105,0,neutral
"Aug. 1, 2010 at 12:01 p.m. ET",PROCESSED,REIT funds go through the roof,REIT funds go through the roof... ,English,0.18680869,0,neutral
"Aug. 1, 2013 at 11:25 a.m. ET",PROCESSED,The hidden pitfalls of being tempted by leverage,The hidden pitfalls of being tempted by leverage... ,English,0.16008018,-0.49000001,negative
"Aug. 1, 2014 at 11:38 a.m. ET",PROCESSED,"Goldman ups Tesla target, but wants better entry price","Goldman ups Tesla target, but wants better entry price... ",English,0.6115404,0.450000018,positive
"Aug. 1, 2014 at 2:49 p.m. ET",PROCESSED,Wal-Mart indicator warns bulls of deflation pulse,Wal-Mart indicator warns bulls of deflation pulse... ,Turkish,0.11187136,0,neutral
"Aug. 1, 2014 at 3:09 p.m. ET",PROCESSED,"U.S. adds 209,000 jobs in July to keep hot streak intact","U.S. adds 209,000 jobs in July to keep hot streak intact... ",English,0.11270211,0,neutral
"Aug. 1, 2014 at 3:34 p.m. ET",PROCESSED,5 takeaways from Tesla’s results,5 takeaways from Tesla’s results... ,English,0.3675548,0,neutral
"Aug. 1, 2014 at 4:21 p.m. ET",PROCESSED,"LinkedIn, Mobileye soar; GoPro skids","LinkedIn, Mobileye soar; GoPro skids... ",Unknown,1,0.49000001,positive
"Aug. 1, 2014 at 9:28 a.m. ET",PROCESSED,S&P 500’s technical trend turns lower,S&P 500’s technical trend turns lower... ,English,0.21722597,0,neutral
"Aug. 1, 2014 at 9:31 a.m. ET",PROCESSED,Tesla climbs 2.6% following quarterly results,Tesla climbs 2.6% following quarterly results... ,English,0.99997866,0,neutral
"Aug. 1, 2016 at 1:38 a.m. ET",PROCESSED,The complicated web of companies that will determine the future of cars,The complicated web of companies that will determine the future of cars... ,English,0.17251053,-0.399285764,negative
"Aug. 1, 2016 at 2:15 p.m. ET",PROCESSED,Elon Musk says Tesla-SolarCity deal is based on ‘really long-term thinking’,Elon Musk says Tesla-SolarCity deal is based on ‘really long-term thinking’... ,English,0.15257253,0.278757602,positive
"Aug. 1, 2016 at 2:54 a.m. ET",PROCESSED,"Tesla, SolarCity could announce merger as soon as Monday: report","Tesla, SolarCity could announce merger as soon as Monday: report... ",English,0.22074328,0,neutral
"Aug. 1, 2016 at 5:14 p.m. ET",PROCESSED,U.S. stocks end lower as crude oil re-enters bear market,U.S. stocks end lower as crude oil re-enters bear market... ,English,0.22571619,-0.431285709,negative
"Aug. 1, 2016 at 7:03 a.m. ET",PROCESSED,Tesla's stock slips 0.3% in premarket trade ahead of call to discuss SolarCity merger,Tesla's stock slips 0.3% in premarket trade ahead of call to discuss SolarCity merger... ,English,0.11552313,0,neutral
"Aug. 1, 2016 at 7:08 a.m. ET",PROCESSED,Tesla and SolarCity to host conference call at 8.00 a.m. ET to discuss combination,Tesla and SolarCity to host conference call at 8.00 a.m. ET to discuss combination... ,Romanian,0.12871994,0,neutral
"Aug. 1, 2016 at 7:10 a.m. ET",PROCESSED,Telsa discloses agreement to buy SolarCity,Telsa discloses agreement to buy SolarCity... ,English,0.14171214,0.45068118,positive
"Aug. 1, 2016 at 7:11 a.m. ET",PROCESSED,"SolarCity Q2 megawatts installed totaled 201 MW, ahead of guidance of 185 MW","SolarCity Q2 megawatts installed totaled 201 MW, ahead of guidance of 185 MW... ",English,0.11561945,0,neutral
"Aug. 1, 2016 at 7:12 a.m. ET",PROCESSED,SolarCity to report Q2 earnings after the bell Aug. 9,SolarCity to report Q2 earnings after the bell Aug. 9... ,English,0.17499396,0,neutral
"Aug. 1, 2016 at 7:12 a.m. ET",PROCESSED,SolarCity expects two new product releases in second half,SolarCity expects two new product releases in second half... ,English,0.12655498,0,neutral
"Aug. 1, 2016 at 7:12 a.m. ET",PROCESSED,SolarCity lowers 2016 guidance for MW intalled to 900 to 1000 MW vs. prior 1000 to 1100 MW,SolarCity lowers 2016 guidance for MW intalled to 900 to 1000 MW vs. prior 1000 to 1100 MW... ,English,0.12590632,0,neutral
"Aug. 1, 2016 at 7:15 a.m. ET",PROCESSED,SolarCity's stock to resume trade at 7:30 a.m. ET,SolarCity's stock to resume trade at 7:30 a.m. ET... ,Romanian,0.12731962,0,neutral
"Aug. 1, 2016 at 7:19 a.m. ET",PROCESSED,SolarCity lowers 2016 guidance for megawatts installed,SolarCity lowers 2016 guidance for megawatts installed... ,English,0.12593818,0,neutral
"Aug. 1, 2016 at 7:21 a.m. ET",PROCESSED,Tesla's stock buyout bid values SolarCity at $25.83 a share,Tesla's stock buyout bid values SolarCity at $25.83 a share... ,English,0.119015165,0,neutral
"Aug. 1, 2016 at 7:22 a.m. ET",PROCESSED,Tesla's buyout bid values SolarCity at about $2.5 bln,Tesla's buyout bid values SolarCity at about $2.5 bln... ,English,0.23651254,0,neutral
"Aug. 1, 2016 at 7:32 a.m. ET",PROCESSED,"SolarCity's stock resumes trade, falls 3% premarket after Tesla buyout deal","SolarCity's stock resumes trade, falls 3% premarket after Tesla buyout deal... ",English,0.4204555,0,neutral
"Aug. 1, 2016 at 7:39 a.m. ET",PROCESSED,Tesla to buy SolarCity in a $2.6 billion deal,Tesla to buy SolarCity in a $2.6 billion deal... ,English,0.103045985,0,neutral
"Aug. 1, 2016 at 7:51 a.m. ET",PROCESSED,Tesla's stock tacks on 0.5% premarket after SolarCity buyout deal,Tesla's stock tacks on 0.5% premarket after SolarCity buyout deal... ,English,0.23841248,0,neutral
"Aug. 1, 2016 at 7:51 a.m. ET",PROCESSED,"SolarCity's stock extends decline, tumbles 6.1% premarket after Tesla buyout deal","SolarCity's stock extends decline, tumbles 6.1% premarket after Tesla buyout deal... ",English,0.41413146,0,neutral
"Aug. 1, 2016 at 7:59 a.m. ET",PROCESSED,Tesla claims there will be $150 million of direct cost synergies in SolarCity deal,Tesla claims there will be $150 million of direct cost synergies in SolarCity deal... ,English,0.14778963,0.600000024,positive
"Aug. 1, 2016 at 8:00 a.m. ET",PROCESSED,Tesla synergies will be achieved in first full year after SolarCity deal's closing,Tesla synergies will be achieved in first full year after SolarCity deal's closing... ,English,0.15304895,0.585000038,positive
"Aug. 1, 2016 at 8:08 a.m. ET",PROCESSED,Elon Musk: SolarCity deal driven by need to streamline back-end production,Elon Musk: SolarCity deal driven by need to streamline back-end production... ,English,0.19255602,0.588000059,positive
"Aug. 1, 2016 at 8:11 a.m. ET",PROCESSED,Lyndon Rive: Tesla deal will help SolarCity provide energy at lower cost than traditional energy forms,Lyndon Rive: Tesla deal will help SolarCity provide energy at lower cost than traditional energy forms... ,English,0.2875288,0,neutral
"Aug. 1, 2016 at 8:18 a.m. ET",PROCESSED,Musk: SolarCity would consider higher offer than Tesla's if one came in,Musk: SolarCity would consider higher offer than Tesla's if one came in... ,English,0.16417128,0,neutral
"Aug. 1, 2016 at 8:20 a.m. ET",PROCESSED,Musk: The deal isn't done. It still has to go through SEC approval and receive majority vote from independent shareholders of both companies. Likely to close in fourth quarter.,Musk: The deal isn't done... It still has to go through SEC approval and receive majority vote from independent shareholders of both companies... Likely to close in fourth quarter... ,English,0.1488439,0.685526609,positive
"Aug. 1, 2016 at 8:22 a.m. ET",PROCESSED,Customer acquisition costs a 'key source' of synergy for Tesla-SolarCity,Customer acquisition costs a 'key source' of synergy for Tesla-SolarCity... ,English,0.104838535,0.600000024,positive
"Aug. 1, 2016 at 8:27 a.m. ET",PROCESSED,"In 3 to 5 years, every single system across Tesla-SolarCity portfolio will have solar and storage","In 3 to 5 years, every single system across Tesla-SolarCity portfolio will have solar and storage... ",English,0.14594059,0,neutral
"Aug. 1, 2016 at 8:37 a.m. ET",PROCESSED,Musk: We're really not about advertising,Musk: We're really not about advertising... ,English,0.5052201,0,neutral
"Aug. 1, 2016 at 8:54 a.m. ET",PROCESSED,"Earnings signal a bear market: ‘Sell the house, sell the car, sell the kids’","Earnings signal a bear market: ‘Sell the house, sell the car, sell the kids’... ",English,0.13628031,0,neutral
"Aug. 1, 2016 at 8:55 a.m. ET",PROCESSED,"Tesla, SolarCity tout $150 million in cost synergies within first year","Tesla, SolarCity tout $150 million in cost synergies within first year... ",English,0.1189784,0.5,positive
"Aug. 1, 2016 at 9:04 a.m. ET",PROCESSED,Storage products could make up a 'very large percentage of total output' of Tesla's Gigafactory,Storage products could make up a 'very large percentage of total output' of Tesla's Gigafactory... ,English,0.13214703,0,neutral
"Aug. 1, 2017 at 2:11 p.m. ET",PROCESSED,The Big Risk in Tesla’s Model 3 Launch,The Big Risk in Tesla’s Model 3 Launch... ,English,0.12843001,0,neutral
"Aug. 1, 2017 at 3:57 p.m. ET",PROCESSED,"Investing icon Burton Malkiel talks Trump, valuations, and the ETFs he’s bullish on","Investing icon Burton Malkiel talks Trump, valuations, and the ETFs he’s bullish on... ",English,0.16463135,-0.466666698,negative
"Aug. 1, 2017 at 4:35 p.m. ET",PROCESSED,Why European stock-market bulls shoudn’t lose sleep over a rising euro,Why European stock-market bulls shoudn’t lose sleep over a rising euro... ,English,0.11373329,0,neutral
"Aug. 1, 2017 at 7:09 a.m. ET",PROCESSED,"Elon Musk admits to ‘unrelenting stress,’ says he may be bipolar","Elon Musk admits to ‘unrelenting stress,’ says he may be bipolar... ",English,0.16199586,0,neutral
"Aug. 1, 2018 at 11:02 a.m. ET",PROCESSED,Tesla earnings: Gear up for more drama after Model 3 production burst,Tesla earnings: Gear up for more drama after Model 3 production burst... ,English,0.18642378,0,neutral
"Aug. 1, 2018 at 11:11 a.m. ET",PROCESSED,These 9 stocks will win from the esports craze,These 9 stocks will win from the esports craze... ,English,0.20957226,0.441551745,positive
"Aug. 1, 2018 at 11:41 a.m. ET",PROCESSED,"S&P 500 holds the breakout point, Nasdaq maintains key trendline ahead of Fed","S&P 500 holds the breakout point, Nasdaq maintains key trendline ahead of Fed... ",English,0.157867,-0.545000017,negative
"Aug. 1, 2018 at 12:12 p.m. ET",PROCESSED,"Musk, Einhorn exchange barbs after hedge-fund manager lashes out at Tesla","Musk, Einhorn exchange barbs after hedge-fund manager lashes out at Tesla... ",English,0.24997143,0,neutral
"Aug. 1, 2018 at 3:33 p.m. ET",PROCESSED,"The stock market just experienced the most seismic shift from growth to value since Lehman Brothers, says Nomura","The stock market just experienced the most seismic shift from growth to value since Lehman Brothers, says Nomura... ",English,0.18283325,0.475800008,positive
"Aug. 1, 2018 at 4:06 p.m. ET",PROCESSED,Tesla adj. loss of $3.06/shr $ vs. expectations $2.88,Tesla adj. loss of $3.06/shr $ vs. expectations $2.88... ,English,0.12026129,-0.600000024,negative
